doy,Jordan,Reservoir,Todds,Upper
174,6.7,NaN,NaN,NaN
175,7.5,NaN,NaN,NaN
176,11.7,NaN,NaN,NaN
177,12.5,NaN,NaN,NaN
178,14.2,NaN,NaN,NaN
179,14.5,NaN,NaN,NaN
180,9.5,NaN,NaN,NaN
181,10,NaN,NaN,NaN
182,10,NaN,NaN,NaN
183,10.85,NaN,NaN,NaN
184,13.6,NaN,NaN,NaN
185,11.1,NaN,NaN,NaN
186,11.95,NaN,NaN,NaN
187,10.85,NaN,NaN,NaN
188,NaN,NaN,NaN,NaN
189,NaN,NaN,NaN,NaN
190,NaN,NaN,NaN,NaN
191,NaN,NaN,NaN,NaN
192,NaN,NaN,NaN,NaN
193,NaN,NaN,NaN,NaN
194,NaN,NaN,NaN,NaN
195,NaN,NaN,NaN,NaN
196,NaN,NaN,NaN,NaN
197,NaN,NaN,NaN,13.16
198,NaN,NaN,NaN,11.81
199,16.4,15.39,13.25,11.29
200,16.1,14.4,13.11,12.04
201,16.95,15.54,13.87,13.01
202,14.75,12.81,12,11.36
203,13.3,12.38,11.25,10.13
204,13.3,NaN,11.69,10.9
205,13.05,15.41,11.36,NaN
206,11.95,16.84,11.75,NaN
207,11.1,16.36,11.06,NaN
208,15.05,13.42,11.27,10.57
209,16.4,12.44,10.55,8.79
210,15.3,11.87,9.79,8.58
211,13.3,18.03,10.48,9.63
212,13.05,13.72,10.66,8.95
213,19.75,14.18,10.93,8.37
214,18.9,13.97,12.51,NaN
215,18.05,12.56,10.8,NaN
216,15,9.85,9.47,NaN
217,16.95,13.24,11.18,NaN
218,17.75,13.39,12.64,NaN
219,19.2,13.09,NaN,NaN
220,10.3,10.76,NaN,NaN
221,8.3,11.04,NaN,NaN
222,8.3,11.05,NaN,NaN
223,11.1,13.26,12.26,NaN
224,9.75,13.33,9.79,10.11
225,10.6,15.38,10.19,7.35
226,12.2,12.41,9.83,8.38
227,11.4,14.16,10.54,7.99
228,15.6,14.49,12.28,10.78
229,16.1,13.76,12.49,10.85
230,15,11.63,10.14,9.04
231,NaN,11.29,10.03,8.24
232,NaN,12.21,9.06,8
233,NaN,11.05,9.24,8.39
234,NaN,10.79,8.87,7.78
235,NaN,11.28,9.03,8.19
236,NaN,10.39,9.51,8.82
237,NaN,8.6,7.4,6.371
238,NaN,8.21,7.34,5.821
239,NaN,5.976,4.683,4.113
240,NaN,3.636,2.677,1.938
241,NaN,5.85,4.306,2.801
242,NaN,7.02,5.211,4.095
243,NaN,10.23,7.07,5.922
244,NaN,12.54,8,5.524
245,NaN,14,9.94,8.05
246,NaN,12.65,11.04,9.36
247,NaN,4.69,3.879,3.218
248,0.315,4.046,3.58,2.543
249,0.062,3.651,2.82,1.514
250,0.088,7.12,5.544,4.523
251,2.881,7.59,5.917,4.476
252,4.224,10.88,7.46,6.086
253,7.52,9.87,7.78,5.87
254,9.13,10.16,8.74,NaN
255,6.269,11.14,8.87,NaN
256,16.2,11.82,10.37,NaN
257,6.812,8,7.31,NaN
258,1.973,3.94,1.972,NaN
259,0.037,2.095,0.707,NaN
260,1.662,5.719,4.657,7.77
261,6.223,9.6,8.92,6.193
262,10.82,11.84,17.45,7.38
263,9.38,7.13,6.842,5.474
264,2.558,1.323,0.203,-0.654
265,0.548,NaN,NaN,NaN
266,0,NaN,NaN,NaN
267,0.078,NaN,NaN,NaN
268,4.843,NaN,NaN,NaN
269,0.333,NaN,NaN,NaN
270,1.045,NaN,NaN,NaN
271,3.869,NaN,NaN,NaN
272,5.26,NaN,NaN,NaN
